pid,feature,standard_measures,result_measures,intersection,IoU,Precision,Recall,F1,Coverage
58,4.0,"[7, 19, 20]","[37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 56.0, 57.0, 58.0, 59.0]",[],0.0,0.0,0.0,0.0,0.0
58,5.0,[],"[8.0, 9.0, 10.0, 53.0, 54.0, 55.0, 56.0, 57.0, 58.0, 59.0]",[],0.0,0.0,0.0,0.0,0.0
58,6.0,[],"[31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0]",[],0.0,0.0,0.0,0.0,0.0
58,7.0,"[19, 20]","[37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0]",[],0.0,0.0,0.0,0.0,0.0
58,8.0,[],"[41.0, 42.0, 43.0, 44.0, 45.0, 66.0, 67.0, 68.0, 69.0, 70.0, 71.0, 72.0, 73.0]",[],0.0,0.0,0.0,0.0,0.0
58,9.0,[],"[26.0, 27.0, 28.0, 29.0, 30.0, 31.0, 32.0, 33.0, 34.0, 35.0, 76.0, 77.0, 78.0, 79.0]",[],0.0,0.0,0.0,0.0,0.0
58,10.0,[],"[66.0, 67.0, 68.0, 69.0, 70.0, 71.0, 72.0, 73.0, 74.0, 75.0, 76.0, 77.0, 78.0, 79.0]",[],0.0,0.0,0.0,0.0,0.0
58,11.0,"[65, 66]","[36.0, 37.0, 38.0, 39.0, 40.0, 66.0, 67.0, 68.0, 69.0, 70.0, 76.0, 77.0, 78.0, 79.0]",[66],0.067,0.071,0.5,0.125,0.5
58,12.0,"[42, 43, 44, 45, 46, 47, 48, 65, 66]",[],[],0.0,0.0,0.0,0.0,0.0
58,13.0,[],"[1.0, 2.0, 3.0, 4.0, 5.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0]",[],0.0,0.0,0.0,0.0,0.0
58,14.0,[],"[46.0, 47.0, 48.0]",[],0.0,0.0,0.0,0.0,0.0
58,15.0,"[42, 43, 44, 45, 46, 47, 48]","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 41.0, 42.0, 43.0, 44.0, 45.0]","[42, 43, 44, 45]",0.222,0.267,0.571,0.364,0.571
58,16.0,[],"[66.0, 67.0, 68.0, 69.0, 70.0]",[],0.0,0.0,0.0,0.0,0.0
58,17.0,[],"[41.0, 42.0, 43.0, 44.0, 45.0, 71.0, 72.0, 73.0, 74.0, 75.0, 76.0, 77.0, 78.0, 79.0]",[],0.0,0.0,0.0,0.0,0.0
58,18.0,[],"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]",[],0.0,0.0,0.0,0.0,0.0
59,1.0,[],"[26.0, 27.0, 28.0, 29.0, 30.0, 41.0, 42.0, 43.0, 44.0, 45.0, 51.0, 52.0, 53.0, 54.0, 55.0]",[],0.0,0.0,0.0,0.0,0.0
59,4.0,[],"[37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 56.0, 57.0, 58.0, 59.0]",[],0.0,0.0,0.0,0.0,0.0
59,5.0,[],"[53.0, 54.0, 55.0, 56.0, 57.0, 58.0, 59.0, 66.0, 67.0, 68.0]",[],0.0,0.0,0.0,0.0,0.0
59,6.0,[],"[31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0]",[],0.0,0.0,0.0,0.0,0.0
59,7.0,[],"[37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0]",[],0.0,0.0,0.0,0.0,0.0
59,8.0,[],"[41.0, 42.0, 43.0, 44.0, 45.0, 66.0, 67.0, 68.0, 69.0, 70.0, 71.0, 72.0, 73.0]",[],0.0,0.0,0.0,0.0,0.0
59,9.0,[],"[56.0, 57.0, 58.0, 59.0, 60.0, 71.0, 72.0, 73.0, 74.0, 75.0, 76.0, 77.0, 78.0, 79.0]",[],0.0,0.0,0.0,0.0,0.0
59,10.0,[],"[66.0, 67.0, 68.0, 69.0, 70.0, 71.0, 72.0, 73.0, 74.0, 75.0, 76.0, 77.0, 78.0, 79.0]",[],0.0,0.0,0.0,0.0,0.0
59,11.0,[],"[36.0, 37.0, 38.0, 39.0, 40.0, 66.0, 67.0, 68.0, 69.0, 70.0, 76.0, 77.0, 78.0, 79.0]",[],0.0,0.0,0.0,0.0,0.0
59,13.0,[],"[1.0, 2.0, 3.0, 4.0, 5.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0]",[],0.0,0.0,0.0,0.0,0.0
59,15.0,[48],"[6.0, 7.0, 8.0, 9.0, 10.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0]",[],0.0,0.0,0.0,0.0,0.0
59,16.0,[],"[41.0, 42.0, 43.0, 44.0, 45.0, 66.0, 67.0, 68.0, 69.0, 70.0, 71.0, 72.0, 73.0, 74.0, 75.0]",[],0.0,0.0,0.0,0.0,0.0
59,17.0,[],"[41.0, 42.0, 43.0, 44.0, 45.0, 71.0, 72.0, 73.0, 74.0, 75.0, 76.0, 77.0, 78.0, 79.0]",[],0.0,0.0,0.0,0.0,0.0
59,18.0,[],"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0]",[],0.0,0.0,0.0,0.0,0.0
60,1.0,[],"[26.0, 27.0, 28.0, 29.0, 30.0, 41.0, 42.0, 43.0, 44.0, 45.0, 51.0, 52.0, 53.0, 54.0, 55.0]",[],0.0,0.0,0.0,0.0,0.0
60,4.0,"[37, 38, 39, 40, 41]","[37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 56.0, 57.0, 58.0, 59.0]","[37, 38, 39, 40, 41]",0.385,0.385,1.0,0.556,1.0
60,5.0,[],"[53.0, 54.0, 55.0, 56.0, 57.0, 58.0, 59.0, 66.0, 67.0, 68.0]",[],0.0,0.0,0.0,0.0,0.0
60,6.0,[],"[31.0, 32.0, 33.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0]",[],0.0,0.0,0.0,0.0,0.0
60,7.0,"[37, 38, 39, 40, 41]","[37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 69.0, 70.0, 71.0, 72.0]","[37, 38, 39, 40, 41]",0.385,0.385,1.0,0.556,1.0
60,8.0,[],"[41.0, 42.0, 43.0, 44.0, 45.0, 66.0, 67.0, 68.0, 69.0, 70.0, 71.0, 72.0, 73.0]",[],0.0,0.0,0.0,0.0,0.0
60,9.0,[],"[56.0, 57.0, 58.0, 59.0, 60.0, 71.0, 72.0, 73.0, 74.0, 75.0, 76.0, 77.0, 78.0, 79.0]",[],0.0,0.0,0.0,0.0,0.0
60,10.0,[],"[66.0, 67.0, 68.0, 69.0, 70.0, 71.0, 72.0, 73.0, 74.0, 75.0, 76.0, 77.0, 78.0, 79.0]",[],0.0,0.0,0.0,0.0,0.0
60,11.0,[],"[36.0, 37.0, 38.0, 39.0, 40.0, 66.0, 67.0, 68.0, 69.0, 70.0, 76.0, 77.0, 78.0, 79.0]",[],0.0,0.0,0.0,0.0,0.0
60,13.0,[],"[1.0, 2.0, 3.0, 4.0, 5.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0]",[],0.0,0.0,0.0,0.0,0.0
60,15.0,[],"[6.0, 7.0, 8.0, 9.0, 10.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0]",[],0.0,0.0,0.0,0.0,0.0
60,16.0,[],"[41.0, 42.0, 43.0, 44.0, 45.0, 66.0, 67.0, 68.0, 69.0, 70.0, 71.0, 72.0, 73.0, 74.0, 75.0]",[],0.0,0.0,0.0,0.0,0.0
60,17.0,[],"[41.0, 42.0, 43.0, 44.0, 45.0, 71.0, 72.0, 73.0, 74.0, 75.0, 76.0, 77.0, 78.0, 79.0]",[],0.0,0.0,0.0,0.0,0.0
60,18.0,[],"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0]",[],0.0,0.0,0.0,0.0,0.0
