measure,feature,feature_value,critical_score
28.0,18.0,0.3333333333333333,5.0
29.0,1.0,-0.5833333333333333,11.0
29.0,3.0,,3.0
29.0,4.0,,3.0
29.0,6.0,-1.0,4.0
29.0,7.0,0.19047619047619047,10.0
29.0,9.0,,3.0
29.0,10.0,,3.0
29.0,11.0,0.3333333333333333,3.0
29.0,13.0,0.3333333333333333,5.0
29.0,14.0,-0.3333333333333333,6.0
29.0,15.0,0.16666666666666666,5.0
29.0,16.0,,1.0
29.0,17.0,,2.0
29.0,18.0,0.3333333333333333,7.0
29.0,19.0,,3.0
30.0,1.0,-0.5833333333333333,7.0
30.0,3.0,,3.0
30.0,4.0,0.16666666666666666,5.0
30.0,5.0,0.16666666666666666,2.0
30.0,6.0,,3.0
30.0,7.0,0.19047619047619047,10.0
30.0,9.0,,4.0
30.0,10.0,,4.0
30.0,11.0,0.3333333333333333,3.0
30.0,13.0,0.3333333333333333,5.0
30.0,14.0,-0.3333333333333333,7.0
30.0,15.0,0.16666666666666666,5.0
30.0,16.0,,1.0
30.0,17.0,,2.0
30.0,18.0,0.3333333333333333,6.0
30.0,19.0,,4.0
31.0,1.0,-0.5833333333333333,6.0
31.0,3.0,,3.0
31.0,4.0,0.16666666666666666,4.0
31.0,5.0,0.16666666666666666,2.0
31.0,6.0,,2.0
31.0,7.0,0.19047619047619047,9.0
31.0,8.0,,1.0
31.0,9.0,,5.0
31.0,10.0,,3.0
31.0,11.0,0.3333333333333333,3.0
31.0,13.0,0.3333333333333333,4.0
31.0,14.0,-0.3333333333333333,6.0
31.0,15.0,0.16666666666666666,4.0
31.0,16.0,,2.0
31.0,17.0,,2.0
31.0,18.0,0.3333333333333333,5.0
31.0,19.0,,4.0
32.0,1.0,-0.5833333333333333,7.0
32.0,3.0,,2.0
32.0,4.0,0.16666666666666666,4.0
32.0,5.0,0.16666666666666666,2.0
32.0,6.0,,1.0
32.0,7.0,0.19047619047619047,8.0
32.0,8.0,,3.0
32.0,9.0,,5.0
32.0,10.0,,2.0
32.0,11.0,0.3333333333333333,5.0
32.0,13.0,0.3333333333333333,4.0
32.0,14.0,-0.3333333333333333,7.0
32.0,15.0,0.16666666666666666,3.0
32.0,16.0,,4.0
32.0,17.0,,1.0
32.0,18.0,0.3333333333333333,5.0
32.0,19.0,,4.0
33.0,1.0,,5.0
33.0,3.0,,4.0
33.0,4.0,,3.0
33.0,5.0,,3.0
33.0,8.0,,5.0
33.0,9.0,,5.0
33.0,10.0,,3.0
33.0,11.0,,6.0
33.0,12.0,,2.0
33.0,13.0,,1.0
33.0,14.0,,6.0
33.0,16.0,,6.0
33.0,17.0,,2.0
33.0,18.0,,6.0
33.0,19.0,1.0,8.0
34.0,1.0,,6.0
34.0,3.0,,7.0
34.0,4.0,,5.0
34.0,5.0,,6.0
34.0,6.0,,1.0
34.0,8.0,,7.0
34.0,9.0,,3.0
34.0,10.0,,4.0
34.0,11.0,,9.0
34.0,12.0,,4.0
34.0,13.0,,1.0
34.0,14.0,,6.0
34.0,16.0,,8.0
34.0,17.0,,4.0
34.0,18.0,,6.0
34.0,19.0,1.0,7.0
35.0,1.0,,6.0
35.0,3.0,,8.0
35.0,4.0,,6.0
35.0,5.0,,8.0
35.0,6.0,,3.0
35.0,8.0,,7.0
35.0,9.0,,3.0
35.0,10.0,,6.0
35.0,11.0,,9.0
35.0,12.0,,6.0
35.0,13.0,,3.0
35.0,14.0,,6.0
35.0,16.0,,7.0
35.0,17.0,,6.0
35.0,18.0,,3.0
35.0,19.0,1.0,5.0
36.0,1.0,,6.0
36.0,3.0,,8.0
36.0,4.0,,5.0
36.0,5.0,,9.0
36.0,6.0,,5.0
36.0,8.0,,7.0
36.0,9.0,,3.0
36.0,10.0,,8.0
36.0,11.0,,9.0
36.0,12.0,,7.0
36.0,13.0,,5.0
36.0,14.0,,5.0
36.0,16.0,,6.0
36.0,17.0,,6.0
36.0,18.0,,1.0
36.0,19.0,1.0,4.0
37.0,1.0,,5.0
37.0,3.0,,7.0
37.0,4.0,,5.0
37.0,5.0,,9.0
37.0,6.0,,7.0
37.0,7.0,,1.0
37.0,8.0,,7.0
37.0,9.0,,2.0
37.0,10.0,,7.0
37.0,11.0,,9.0
37.0,12.0,,6.0
37.0,13.0,,5.0
37.0,14.0,,5.0
37.0,15.0,,1.0
37.0,16.0,,5.0
37.0,17.0,,6.0
37.0,19.0,1.0,3.0
38.0,1.0,,4.0
38.0,2.0,,1.0
38.0,3.0,,6.0
38.0,4.0,,7.0
38.0,5.0,,8.0
38.0,6.0,,7.0
38.0,7.0,,2.0
38.0,8.0,,8.0
38.0,9.0,0.6666666666666666,4.0
38.0,10.0,-0.16666666666666666,6.0
38.0,11.0,,8.0
38.0,12.0,,4.0
38.0,13.0,,5.0
38.0,14.0,,4.0
38.0,15.0,,2.0
38.0,16.0,,4.0
38.0,17.0,,5.0
38.0,18.0,,1.0
38.0,19.0,1.0,4.0
39.0,1.0,,4.0
39.0,2.0,,3.0
39.0,3.0,,5.0
39.0,4.0,,7.0
39.0,5.0,,8.0
39.0,6.0,,7.0
39.0,7.0,,4.0
39.0,8.0,,8.0
39.0,9.0,,2.0
39.0,10.0,,2.0
39.0,11.0,,6.0
39.0,12.0,,2.0
39.0,13.0,,5.0
39.0,14.0,,5.0
39.0,15.0,,4.0
39.0,16.0,,3.0
39.0,17.0,,4.0
39.0,18.0,,3.0
39.0,19.0,1.0,6.0
40.0,1.0,0.3333333333333333,7.0
40.0,2.0,,4.0
40.0,3.0,,3.0
40.0,4.0,,8.0
40.0,5.0,,9.0
40.0,6.0,,8.0
40.0,7.0,,7.0
40.0,8.0,,8.0
40.0,9.0,,1.0
40.0,10.0,,1.0
40.0,11.0,,3.0
40.0,12.0,,1.0
40.0,13.0,,6.0
40.0,14.0,,7.0
40.0,15.0,,6.0
40.0,16.0,,2.0
40.0,17.0,,2.0
40.0,18.0,,5.0
40.0,19.0,1.0,6.0
41.0,1.0,0.2222222222222222,15.0
41.0,2.0,,5.0
41.0,4.0,0.0,9.0
41.0,5.0,,8.0
41.0,6.0,0.6666666666666666,7.0
41.0,7.0,0.3333333333333333,10.0
41.0,8.0,,7.0
41.0,9.0,,1.0
41.0,10.0,-0.7777777777777777,3.0
41.0,12.0,-0.3333333333333333,1.0
41.0,13.0,0.6666666666666666,6.0
41.0,14.0,,6.0
41.0,15.0,,7.0
41.0,18.0,,6.0
41.0,19.0,1.0,11.0
42.0,1.0,0.2222222222222222,12.0
42.0,2.0,,3.0
42.0,4.0,0.0,8.0
42.0,5.0,,7.0
42.0,6.0,0.6666666666666666,4.0
42.0,7.0,0.3333333333333333,9.0
42.0,8.0,,4.0
42.0,10.0,-0.7777777777777777,3.0
42.0,12.0,-0.3333333333333333,1.0
42.0,13.0,0.6666666666666666,4.0
42.0,14.0,,3.0
42.0,15.0,,7.0
42.0,18.0,,4.0
42.0,19.0,1.0,9.0
43.0,1.0,0.2222222222222222,10.0
43.0,2.0,,2.0
43.0,4.0,0.0,9.0
43.0,5.0,,8.0
43.0,6.0,0.6666666666666666,2.0
43.0,7.0,0.3333333333333333,8.0
43.0,8.0,,3.0
43.0,10.0,-0.7777777777777777,3.0
43.0,12.0,-0.3333333333333333,1.0
43.0,13.0,0.6666666666666666,3.0
43.0,14.0,,1.0
43.0,15.0,,6.0
43.0,18.0,,3.0
43.0,19.0,1.0,9.0
44.0,1.0,0.2222222222222222,9.0
44.0,2.0,,1.0
44.0,4.0,0.0,9.0
44.0,5.0,,8.0
44.0,6.0,0.6666666666666666,1.0
44.0,7.0,0.3333333333333333,6.0
44.0,8.0,,3.0
44.0,10.0,-0.7777777777777777,3.0
44.0,12.0,-0.3333333333333333,1.0
44.0,13.0,0.6666666666666666,3.0
44.0,15.0,,5.0
44.0,18.0,,3.0
44.0,19.0,1.0,8.0
45.0,1.0,0.2222222222222222,12.0
45.0,2.0,,3.0
45.0,3.0,,2.0
45.0,4.0,0.0,9.0
45.0,5.0,,8.0
45.0,6.0,0.6666666666666666,4.0
45.0,7.0,0.3333333333333333,7.0
45.0,8.0,,4.0
45.0,9.0,,3.0
45.0,10.0,-0.7777777777777777,5.0
45.0,11.0,,1.0
45.0,12.0,-0.3333333333333333,2.0
45.0,13.0,0.6666666666666666,6.0
45.0,14.0,,2.0
45.0,15.0,,6.0
45.0,16.0,,2.0
45.0,17.0,,3.0
45.0,18.0,,5.0
45.0,19.0,1.0,10.0
46.0,1.0,0.16666666666666666,9.0
46.0,2.0,,4.0
46.0,3.0,,2.0
46.0,4.0,0.0,9.0
46.0,5.0,-0.3333333333333333,10.0
46.0,6.0,,5.0
46.0,7.0,0.3333333333333333,7.0
46.0,8.0,,6.0
46.0,9.0,,5.0
46.0,10.0,-0.6666666666666666,3.0
46.0,11.0,,3.0
46.0,12.0,,1.0
46.0,13.0,0.6666666666666666,8.0
46.0,14.0,,4.0
46.0,15.0,,7.0
46.0,16.0,,4.0
46.0,17.0,,4.0
46.0,18.0,,7.0
46.0,19.0,,4.0
47.0,1.0,0.2222222222222222,10.0
47.0,2.0,,5.0
47.0,3.0,,3.0
47.0,4.0,0.0,10.0
47.0,5.0,0.0,10.0
47.0,6.0,,7.0
47.0,7.0,0.3333333333333333,8.0
47.0,8.0,,8.0
47.0,9.0,,6.0
47.0,10.0,-0.6666666666666666,4.0
47.0,11.0,,6.0
47.0,12.0,,1.0
47.0,13.0,0.6666666666666666,8.0
47.0,14.0,,5.0
47.0,15.0,,7.0
47.0,16.0,,7.0
47.0,17.0,,5.0
47.0,18.0,,8.0
47.0,19.0,,3.0
48.0,1.0,0.2222222222222222,11.0
48.0,2.0,,6.0
48.0,3.0,,4.0
48.0,4.0,0.0,10.0
48.0,5.0,,8.0
48.0,6.0,,8.0
48.0,7.0,0.3333333333333333,10.0
48.0,8.0,,8.0
48.0,9.0,,7.0
48.0,10.0,-0.6666666666666666,5.0
48.0,11.0,,8.0
48.0,12.0,,2.0
48.0,13.0,0.6666666666666666,8.0
48.0,14.0,,6.0
48.0,15.0,,7.0
48.0,16.0,,8.0
48.0,17.0,,6.0
48.0,18.0,,8.0
48.0,19.0,,4.0
49.0,1.0,-0.6666666666666666,9.0
49.0,2.0,-0.6666666666666666,9.0
49.0,3.0,,5.0
49.0,4.0,,9.0
49.0,5.0,,8.0
49.0,6.0,,8.0
49.0,7.0,0.6666666666666666,12.0
49.0,8.0,,8.0
49.0,9.0,,8.0
49.0,10.0,0.3333333333333333,7.0
49.0,11.0,,7.0
49.0,12.0,,4.0
49.0,13.0,0.6666666666666666,9.0
49.0,14.0,,7.0
49.0,15.0,,8.0
49.0,16.0,,7.0
49.0,17.0,,6.0
49.0,18.0,,8.0
49.0,19.0,,6.0
50.0,1.0,-0.6666666666666666,10.0
50.0,2.0,-0.6666666666666666,10.0
50.0,3.0,,8.0
50.0,4.0,,9.0
50.0,5.0,,8.0
50.0,6.0,,9.0
50.0,7.0,0.6666666666666666,11.0
50.0,8.0,,9.0
50.0,9.0,,9.0
50.0,10.0,,9.0
50.0,11.0,,8.0
50.0,12.0,,7.0
50.0,13.0,0.6666666666666666,10.0
50.0,14.0,,9.0
50.0,15.0,,9.0
50.0,16.0,,7.0
50.0,17.0,,9.0
50.0,18.0,,9.0
50.0,19.0,1.0,10.0
51.0,1.0,-0.6666666666666666,10.0
51.0,2.0,-0.6666666666666666,9.0
51.0,3.0,,8.0
51.0,4.0,,9.0
51.0,5.0,,5.0
51.0,6.0,,9.0
51.0,7.0,0.6666666666666666,11.0
51.0,8.0,,9.0
51.0,9.0,,8.0
51.0,10.0,,9.0
51.0,11.0,,7.0
51.0,12.0,,9.0
51.0,13.0,0.6666666666666666,10.0
51.0,14.0,,9.0
51.0,15.0,,8.0
51.0,16.0,,5.0
51.0,17.0,,8.0
51.0,18.0,,9.0
51.0,19.0,1.0,10.0
52.0,1.0,-0.6666666666666666,10.0
52.0,2.0,-0.6666666666666666,8.0
52.0,3.0,,5.0
52.0,4.0,,8.0
52.0,5.0,,2.0
52.0,6.0,,9.0
52.0,7.0,0.6666666666666666,11.0
52.0,8.0,,9.0
52.0,9.0,,7.0
52.0,10.0,,9.0
52.0,11.0,,5.0
52.0,12.0,,9.0
52.0,13.0,0.6666666666666666,10.0
52.0,14.0,,9.0
52.0,15.0,,8.0
52.0,16.0,,3.0
52.0,17.0,,6.0
52.0,18.0,,9.0
52.0,19.0,1.0,10.0
53.0,1.0,-0.6666666666666666,10.0
53.0,2.0,-0.6666666666666666,8.0
53.0,3.0,,3.0
53.0,4.0,,8.0
53.0,5.0,,2.0
53.0,6.0,,9.0
53.0,7.0,0.6666666666666666,12.0
53.0,8.0,,9.0
53.0,9.0,,7.0
53.0,10.0,,9.0
53.0,11.0,,3.0
53.0,12.0,,9.0
53.0,13.0,0.6666666666666666,10.0
53.0,14.0,,9.0
53.0,15.0,,9.0
53.0,16.0,,2.0
53.0,17.0,,5.0
53.0,18.0,,9.0
53.0,19.0,1.0,10.0
54.0,1.0,-0.6666666666666666,9.0
