measure,feature,critical_score,feature_value
83,13,1,0.6666666666666666
84,4,5,0.0
84,5,4,-0.3333333333333333
84,19,2,0.8333333333333333
84,11,3,0.4444444444444444
84,1,3,0.0
84,7,7,0.38095238095238093
84,10,1,-0.3333333333333333
84,13,1,0.6666666666666666
85,4,5,0.0
85,5,4,-0.3333333333333333
85,19,2,0.8333333333333333
85,11,3,0.4444444444444444
85,1,3,0.0
85,7,7,0.38095238095238093
85,10,1,-0.3333333333333333
85,13,1,0.6666666666666666
86,4,5,0.0
86,5,3,-0.2222222222222222
86,19,2,0.8333333333333333
86,11,3,0.4444444444444444
86,1,3,0.0
86,7,6,0.38888888888888884
86,10,1,-0.3333333333333333
86,13,1,0.6666666666666666
87,4,5,0.0
87,5,3,-0.2222222222222222
87,19,2,0.8333333333333333
87,11,3,0.4444444444444444
87,1,3,0.0
87,7,6,0.38888888888888884
87,10,1,-0.3333333333333333
87,13,1,0.6666666666666666
88,4,5,0.0
88,5,3,-0.2222222222222222
88,19,2,0.8333333333333333
88,11,3,0.4444444444444444
88,1,3,0.0
88,7,6,0.38888888888888884
88,10,1,-0.3333333333333333
88,13,1,0.6666666666666666
89,4,3,0.2222222222222222
89,5,1,0.0
89,19,1,1.0
89,7,3,0.4444444444444444
89,10,1,-0.3333333333333333
89,13,1,0.6666666666666666
89,11,2,0.3333333333333333
90,9,1,0.3333333333333333
90,11,3,0.4444444444444444
90,4,3,0.2222222222222222
90,5,1,0.0
90,19,1,1.0
90,7,3,0.4444444444444444
90,10,1,-0.3333333333333333
90,13,1,0.6666666666666666
91,9,1,0.3333333333333333
91,11,3,0.4444444444444444
91,4,3,0.2222222222222222
91,5,1,0.0
91,19,1,1.0
91,7,3,0.4444444444444444
91,10,1,-0.3333333333333333
91,13,1,0.6666666666666666
92,9,1,0.3333333333333333
92,11,3,0.4444444444444444
92,4,3,0.2222222222222222
92,5,1,0.0
92,19,1,1.0
92,7,3,0.4444444444444444
92,10,1,-0.3333333333333333
92,13,1,0.6666666666666666
93,9,1,0.3333333333333333
93,11,4,0.3333333333333333
93,4,3,0.2222222222222222
93,5,1,0.0
93,19,1,1.0
93,7,4,0.41666666666666663
93,13,2,0.5
93,10,1,-0.3333333333333333
94,5,1,-0.6666666666666666
94,7,5,0.39999999999999997
94,13,3,0.5555555555555555
94,11,3,0.2222222222222222
94,10,1,-0.3333333333333333
94,4,2,0.3333333333333333
95,2,1,-0.3333333333333333
95,7,5,0.39999999999999997
95,13,3,0.5555555555555555
95,11,3,0.2222222222222222
95,10,1,-0.3333333333333333
95,4,2,0.3333333333333333
96,7,5,0.39999999999999997
96,13,3,0.5555555555555555
96,11,3,0.2222222222222222
96,10,1,-0.3333333333333333
96,4,2,0.3333333333333333
97,1,3,0.0
97,12,1,0.3333333333333333
97,17,1,0.3333333333333333
97,18,2,0.6666666666666666
98,1,3,0.0
98,12,1,0.3333333333333333
98,17,1,0.3333333333333333
98,18,2,0.6666666666666666
99,1,3,0.0
99,12,1,0.3333333333333333
99,17,1,0.3333333333333333
99,18,2,0.6666666666666666
100,1,2,0.0
100,12,1,0.3333333333333333
100,17,1,0.3333333333333333
100,18,2,0.6666666666666666
101,1,2,0.0
101,12,1,0.3333333333333333
101,17,1,0.3333333333333333
101,18,2,0.6666666666666666
102,1,1,0.6666666666666666
102,12,1,0.3333333333333333
102,17,1,0.3333333333333333
102,18,2,0.6666666666666666
103,1,1,0.6666666666666666
103,12,1,0.3333333333333333
103,17,1,0.3333333333333333
103,18,2,0.6666666666666666
104,1,1,0.6666666666666666
104,12,1,0.3333333333333333
104,17,1,0.3333333333333333
104,18,2,0.6666666666666666
104,14,1,-1.0
105,2,6,-0.2777777777777778
105,19,4,0.9166666666666666
105,5,1,-1.0
105,14,2,-0.8333333333333333
105,13,1,0.6666666666666666
105,18,1,0.6666666666666666
106,2,7,-0.2380952380952381
106,19,4,0.9166666666666666
106,5,1,-1.0
106,14,2,-0.8333333333333333
106,13,1,0.6666666666666666
106,18,1,0.6666666666666666
107,2,7,-0.2380952380952381
107,19,4,0.9166666666666666
107,5,1,-1.0
107,14,2,-0.8333333333333333
107,13,1,0.6666666666666666
107,18,1,0.6666666666666666
108,2,9,-0.25925925925925924
108,19,4,0.9166666666666666
108,5,1,-1.0
108,14,2,-0.8333333333333333
108,13,1,0.6666666666666666
108,18,1,0.6666666666666666
109,2,7,-0.2380952380952381
109,19,4,0.9166666666666666
109,5,1,-1.0
109,14,2,-0.8333333333333333
109,13,1,0.6666666666666666
109,18,1,0.6666666666666666
110,2,7,-0.2380952380952381
110,19,4,0.9166666666666666
110,5,1,-1.0
110,14,2,-0.8333333333333333
110,13,1,0.6666666666666666
110,18,1,0.6666666666666666
111,2,7,-0.2380952380952381
111,19,4,0.9166666666666666
111,5,1,-1.0
111,14,2,-0.8333333333333333
111,13,1,0.6666666666666666
111,18,1,0.6666666666666666
112,2,5,-0.26666666666666666
112,19,4,0.9166666666666666
112,5,2,-0.6666666666666666
112,4,1,-0.3333333333333333
112,14,1,-1.0
113,19,2,1.0
113,2,1,-0.6666666666666666
114,2,2,-0.5
114,19,2,1.0
114,7,1,0.3333333333333333
115,2,2,-0.5
115,19,2,1.0
115,7,1,0.3333333333333333
116,2,2,-0.5
116,19,2,1.0
117,2,2,-0.5
117,19,2,1.0
118,2,2,-0.5
118,19,2,1.0
119,2,2,-0.5
119,19,2,1.0
120,19,2,1.0
120,2,1,-0.6666666666666666
121,4,1,-0.3333333333333333
121,5,1,-0.3333333333333333
121,1,1,-0.6666666666666666
121,19,3,1.0
121,13,1,0.6666666666666666
121,14,1,-1.0
121,18,1,1.0
122,4,1,-0.3333333333333333
122,5,1,-0.3333333333333333
122,1,1,-0.6666666666666666
122,19,3,1.0
122,13,1,0.6666666666666666
122,14,1,-1.0
122,18,1,1.0
123,4,1,-0.3333333333333333
123,5,1,-0.3333333333333333
123,1,1,-0.6666666666666666
123,19,3,1.0
123,13,1,0.6666666666666666
123,14,1,-1.0
